Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Hi-Res Image,Width (in Inches),Height (in Inches),Medium / Material,Price (in USD),Availability,Short Description or Notes,"Full Description, Information, or Custom Content",Recognition,Collection,Order,Feature on Homepage?,Featured Video,Featured Video On?
Spiritscape 8,spiritscape-8,632b56d98acca70c72830aa4,632b56d98acca743e9830c9a,Thu Aug 04 2022 17:33:40 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:33:40 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec02e817fa63272978672d_Jerome_Tupa_Spiritscapes_6_23x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec02ea498e9212adc27ed6_Jerome_Tupa_Spiritscapes_6_23x30.jpg,23,30,,,,,,,,,false,,false
Spiritscapes,spiritscapes,632b56d98acca70c72830aa4,632b56d98acca7e4cc830c9b,Thu Aug 04 2022 17:34:07 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:34:07 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec03041feae8be1726daf8_Jerome_Tupa_Spiritscapes_68x49.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec0305df1bb8d8d2f0733b_Jerome_Tupa_Spiritscapes_68x49.jpg,68,49,,,,,,,,,false,,false
Spiritual Bouquet,spiritual-bouquet,632b56d98acca70c72830aa4,632b56d98acca7ba34830b24,Fri Jun 24 2022 15:21:27 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 15:13:04 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d651c5a0e88438eba693_Jerome_Tupa_Spiritual_Bouquet_26x38.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d65d9a3cf17cc5a42316_Jerome_Tupa_Spiritual_Bouquet_26x38_hi.jpg,26,38,Oil on Canvas,,Sold,,"<p id="""">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>",,,60,true,,false
Spiritual Flood,spiritual-flood,632b56d98acca70c72830aa4,632b56d98acca745fd830c9c,Thu Aug 04 2022 17:37:30 GMT+0000 (Coordinated Universal Time),Mon Aug 15 2022 20:33:05 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec03c8d6406563c591684c_Jerome_Tupa_Spiritual_Flood_26x39.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec03cb7adc45ed84626900_Jerome_Tupa_Spiritual_Flood_26x39.jpg,26,39,,,,,,,,,false,,false
St. Augustine Side View,st-augustine-side-view,632b56d98acca70c72830aa4,632b56d98acca73782830b01,Fri Jun 24 2022 15:18:36 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 15:12:50 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d5ba63a0396f3a14c61d_Jerome_Tupa_St_Augustine_Side_View_24x18.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d5aa393fc5df293afe95_Jerome_Tupa_St_Augustine_Side_View_24x18_hi.jpg,24,18,Oil on Canvas,,Available for Purchase,,,,,30,true,,false
Sully Sur Loire,sully-sur-loire,632b56d98acca70c72830aa4,632b56d98acca7c491830cb2,Thu Aug 04 2022 17:54:04 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:54:04 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07b4e73b1341a6646f2f_Jerome_Tupa_Sully_Sur_Loire_31x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07b67ba9004211476ee1_Jerome_Tupa_Sully_Sur_Loire_31x23.jpg,31,23,,,,,,,,,false,,false
Tabgha,tabgha,632b56d98acca70c72830aa4,632b56d98acca78507830cb4,Thu Aug 04 2022 17:55:17 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 17:01:45 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07e3b018b377d6c6c1f2_Jerome_Tupa_Tabgha_30x22.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07e5270e415eda0a4f52_Jerome_Tupa_Tabgha_30x22.jpg,30,22,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Tea for Cixi,tea-for-xixi,632b56d98acca70c72830aa4,632b56d98acca75b21830b14,Fri Jun 24 2022 15:19:37 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 15:11:41 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d5fb0764fa1e55988543_Jerome_Tupa_Tea_for_Susi_48x68_hi.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b5d5f07c7da84413e427ee_Jerome_Tupa_Tea_for_Susi_48x68.jpg,48,68,Oil on Canvas,,Available for Purchase,,"<p id="""">This work showing a fanciful teacup with flowers seems to fit the requirements of serving the Dowager Empress of China. Her empty throne is in the background.</p>",,imperial-chinese-leaders,20,true,,false
The Bouquet,the-bouquet,632b56d98acca70c72830aa4,632b56d98acca725ae830cb5,Thu Aug 04 2022 17:59:08 GMT+0000 (Coordinated Universal Time),Wed Aug 17 2022 15:01:52 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec08491feae89a882710c2_Jerome_Tupa_The_Boquet_38x47.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec084b7adc45ef06629db9_Jerome_Tupa_The_Boquet_38x47.jpg,38,47,,,,,,,,,false,,false
The Coronation,the-coronation,632b56d98acca70c72830aa4,632b56d98acca7e5dc830cb6,Thu Aug 04 2022 17:59:38 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:59:38 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec08fc4ecda246958390a4_Jerome_Tupa_The_Coronation_84x82.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec08fe5cf5980ca7b9a12d_Jerome_Tupa_The_Coronation_84x82.jpg,84,82,,,,,,,,,false,,false
"The Grand Mosque, Damascus",the-grand-mosque-damascus,632b56d98acca70c72830aa4,632b56d98acca7b217830bb5,Wed Aug 03 2022 16:33:10 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 17:01:59 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa316dc707564a021f9be_Jerome_Tupa_Demascus_The_Grand_Mosque_76x64.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa31883543e1bd6b5b389_Jerome_Tupa_Demascus_The_Grand_Mosque_76x64.jpg,76,64,Oil on Canvas,,,,"<p id="""">From the Series “Painting the Middle East” this piece is a painting of the interior courtyard of the mosque containing the fountain for washing before entering the mosque for prayers.</p>",,pilgrimage-to-the-holy-lands,,false,,false
"The Pilgrim's Portal, Santiago de Compostela, Spain",the-pilgrims-portal-santiago-de-compostela-spain,632b56d98acca70c72830aa4,632b56d98acca7deb0830cb8,Thu Aug 04 2022 18:04:57 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 18:04:57 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec094ed6671bb8f3fdeff7_Jerome_Tupa_The_Pilgrim%27s_Portal_Santiago_de_Compostela_Spain_65x77.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec09514ecda2034e8393ad_Jerome_Tupa_The_Pilgrim%27s_Portal_Santiago_de_Compostela_Spain_65x77.jpg,65,77,,,,,,,,,false,,false
The Pyramid at The Louvre,the-pyramid-at-the-louvre,632b56d98acca70c72830aa4,632b56d98acca7c4c4830c20,Thu Aug 04 2022 14:37:10 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 14:37:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebd97d498e92734dc0d98a_Jerome_Tupa_Louvre_The_Pyramid_30x22.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebd97feb86d3394179e4ea_Jerome_Tupa_Louvre_The_Pyramid_30x22.jpg,30,22,,,,,,,,,false,,false
Thrones,thrones,632b56d98acca70c72830aa4,632b56d98acca792da830cb9,Thu Aug 04 2022 18:05:29 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:29:54 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec0a57a4f21f22859a8d56_Jerome_Tupa_Thrones_48x68.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec0a5a459eeab902e1c347_Jerome_Tupa_Thrones_48x68.jpg,48,68,,,,,,,imperial-chinese-leaders,,false,,false
"Tiber Island, Rome (3 Panels)",tiber-island-rome-3-panels,632b56d98acca70c72830aa4,632b56d98acca7a975830c69,Thu Aug 04 2022 15:20:45 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:59:24 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebe39cc8eb8397388320de_Jerome_Tupa_Rome_Tiber_Island_90x36_3_Panels_30x36_each.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebe39ec8eb837db78320eb_Jerome_Tupa_Rome_Tiber_Island_90x36_3_Panels_30x36_each.jpg,90,36,,,,,,,road-to-rome,,false,,false
