Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Hi-Res Image,Width (in Inches),Height (in Inches),Medium / Material,Price (in USD),Availability,Short Description or Notes,"Full Description, Information, or Custom Content",Recognition,Collection,Order,Feature on Homepage?,Featured Video,Featured Video On?
Conception Panel 3,conception-panel-3,632b56d98acca70c72830aa4,632b56d98acca791e2830ba4,Wed Aug 03 2022 16:20:07 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:45:37 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa024af55927d0212d8e5_Jerome_Tupa_Conception_Panel_3_46x38.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa025083f30e715313fec_Jerome_Tupa_Conception_Panel_3_46x38.jpg,46,38,Oil on Canvas,,,,<p>The goddesses of the exhibit “Sentinels of Fire” were in stark contrast to the large passionate paintings of orbs entitled “Sentinels of Fire” in the exhibit. These women are shown in their glorious splendor of suffering yet ecstasy.</p>,,,,false,,false
Conception Panel 4,conception-panel-4,632b56d98acca70c72830aa4,632b56d98acca78ad0830ba5,Wed Aug 03 2022 16:20:37 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:45:46 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa042bbc7827dbd671a8c_Jerome_Tupa_Conception_Panel_4_46x38.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa0451bc460265f6a471d_Jerome_Tupa_Conception_Panel_4_46x38.jpg,46,38,Oil on Canvas,,,,<p>The goddesses of the exhibit “Sentinels of Fire” were in stark contrast to the large passionate paintings of orbs entitled “Sentinels of Fire” in the exhibit. These women are shown in their glorious splendor of suffering yet ecstasy.</p>,,,,false,,false
Conception Panel 5,conception-panel-5,632b56d98acca70c72830aa4,632b56d98acca710a8830ba6,Wed Aug 03 2022 16:21:04 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:46:03 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa060564c42c446852b24_Jerome_Tupa_Conception_Panel_5_38x46.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa063f013235f7ec16757_Jerome_Tupa_Conception_Panel_5_38x46.jpg,38,46,Oil on Canvas,,,,<p>The goddesses of the exhibit “Sentinels of Fire” were in stark contrast to the large passionate paintings of orbs entitled “Sentinels of Fire” in the exhibit. These women are shown in their glorious splendor of suffering yet ecstasy.</p>,,,,false,,false
"Constantinople, Hagia Sophia",constantinople-hagia-sophia,632b56d98acca70c72830aa4,632b56d98acca73881830ba8,Wed Aug 03 2022 16:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:44:26 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa08990a56003ab20f8e6_Jerome_Tupa_Constantinope_Hagia_Sophia_36x36.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa08c67dbd24e801462a8_Jerome_Tupa_Constantinope_Hagia_Sophia_36x36.jpg,36,36,Oil on Canvas,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Cordoba,cordoba,632b56d98acca70c72830aa4,632b56d98acca774d3830baa,Wed Aug 03 2022 16:23:46 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:45:32 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa0f87a18919b35a83f03_Jerome_Tupa_Cordoba_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa0fa9d122566abef5040_Jerome_Tupa_Cordoba_30x23.jpg,30,23,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Cortona La Logoetta,cortona-la-logoetta,632b56d98acca70c72830aa4,632b56d98acca752bb830bab,Wed Aug 03 2022 16:24:32 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:24:32 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1231d124aefab626bb7_Jerome_Tupa_Cortona_La_Logoetta_93x42.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa12567dbd24c39146971_Jerome_Tupa_Cortona_La_Logoetta_93x42.jpg,93,42,,,,,,,,,false,,false
Countryside From Perugia,countryside-from-perugia,632b56d98acca70c72830aa4,632b56d98acca705f6830bac,Wed Aug 03 2022 16:25:07 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:21:44 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa14a24f1648dcda0e8c2_Jerome_Tupa_Countryside_From_Perugia_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa14d1bc460978e6a50fa_Jerome_Tupa_Countryside_From_Perugia_30x23.jpg,30,23,Watercolor,,,,,,,,false,,false
Covenant,covenant,632b56d98acca70c72830aa4,632b56d98acca7499e830bad,Wed Aug 03 2022 16:26:42 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:26:42 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1abf0132304c9c17944_Jerome_Tupa_Covenant_86x108.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1b112a1db9f665bc7b3_Jerome_Tupa_Covenant_86x108.jpg,86,108,,,,,,,,,false,,false
Cuimbra University Plaza,cuimbra-university-plaza,632b56d98acca70c72830aa4,632b56d98acca75f4a830bae,Wed Aug 03 2022 16:27:20 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:57:00 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1dbedb0828595f3e069_Jerome_Tupa_Cuimbra_University_Plaza_31x22.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1dd10309cafc845442a_Jerome_Tupa_Cuimbra_University_Plaza_31x22.jpg,31,22,Watercolor,,,,<p>The series of paintings and watercolors from cities and landscapes in the region of the Middle East; Constantinople to Cairo. This piece represents the biblical passage where Paul escapes from violence and possible death by being lowered from a house on the wall in a basket.</p>,,,,false,,false
Cuinca Cathedral Square,cuinca-cathedral-square,632b56d98acca70c72830aa4,632b56d98acca710dc830baf,Wed Aug 03 2022 16:27:52 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:57:08 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1f3ba10f5e7adfa0bfd_Jerome_Tupa_Cuinca_Cathedral_Square_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa1f44a8415254fc34907_Jerome_Tupa_Cuinca_Cathedral_Square_30x23.jpg,30,23,Watercolor,,,,<p>The series of paintings and watercolors from cities and landscapes in the region of the Middle East; Constantinople to Cairo. This piece represents the biblical passage where Paul escapes from violence and possible death by being lowered from a house on the wall in a basket.</p>,,,,false,,false
Dance Series: Rumba,dance-series-rumba,632b56d98acca70c72830aa4,632b56d98acca79966830bb2,Wed Aug 03 2022 16:30:01 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:24:37 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa271bbc78287da672c5c_Jerome_Tupa_Dance_Series_Rumba_50x55.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa274a0f5021ac527721c_Jerome_Tupa_Dance_Series_Rumba_50x55.jpg,50,55,Oil on Canvas,,,,,,,,false,,false
Dance Series: Tango,dance-series-tango,632b56d98acca70c72830aa4,632b56d98acca747ca830bb3,Wed Aug 03 2022 16:30:36 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:24:41 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa2987af19a95bdcd6a90_Jerome_Tupa_Dance_Series_Tango_50x60.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa29af01323b939c18a2a_Jerome_Tupa_Dance_Series_Tango_50x60.jpg,50,60,Oil on Canvas,,,,,,,,false,,false
Deo Gloria,deo-gloria,632b56d98acca70c72830aa4,632b56d98acca72327830bb6,Wed Aug 03 2022 16:33:42 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:25:58 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa35792c2c1d41a902149_Jerome_Tupa_Deo_Gloria_62x86.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa35a14e6454756d7b3a7_Jerome_Tupa_Deo_Gloria_62x86.jpg,62,86,Oil on Canvas,,,,,,,,false,,false
Descent From the Cross 2,descent-from-the-cross-2,632b56d98acca70c72830aa4,632b56d98acca7e20d830bb7,Wed Aug 03 2022 16:34:23 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:34:23 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa373eed80f18a746c8a3_Jerome_Tupa_Descent_From_The_Cross_2_60x50.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa37440c227cdba8876fb_Jerome_Tupa_Descent_From_The_Cross_2_60x50.jpg,60,50,,,,,,,,,false,,false
Descent From the Cross,descent-from-the-cross-3,632b56d98acca70c72830aa4,632b56d98acca72f0f830bb9,Wed Aug 03 2022 16:34:56 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:34:56 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa39a2e999aa81eee77d4_Jerome_Tupa_Descent_From_The_Cross_40x55.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa39c27d18733c4b2ce72_Jerome_Tupa_Descent_From_The_Cross_40x55.jpg,40,55,,,,,,,,,false,,false
"Dolores, San Francisco",dolores-san-francisco,632b56d98acca70c72830aa4,632b56d98acca7bc62830c6f,Thu Aug 04 2022 15:24:02 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 15:24:02 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebe4847ba900a34245a421_Jerome_Tupa_San_Francisco_Dolores_42x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebe4854d7b6aed92d64454_Jerome_Tupa_San_Francisco_Dolores_42x30.jpg,42,30,,,,,,,,,false,,false
"Dome of the Rock, Jerusalem",dome-of-the-rock-jerusalem,632b56d98acca70c72830aa4,632b56d98acca7aafb830c06,Wed Aug 03 2022 17:36:32 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:52:14 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab20b5b1b2c42ce5374f8_Jerome_Tupa_Jerusalem_Dome_of_The_Rock_36x36.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab20d46101f4520e8d6e6_Jerome_Tupa_Jerusalem_Dome_of_The_Rock_36x36.jpg,36,36,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Domes of Saint Justina,domes-of-saint-justina,632b56d98acca70c72830aa4,632b56d98acca7ea1c830c05,Wed Aug 03 2022 17:35:55 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 17:35:55 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab1a228dbd461caa2691c_Jerome_Tupa_Italy_Ottawa_Domes_of_St_Juskina_40x46.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab1a48ca5364b54cc7ab6_Jerome_Tupa_Italy_Ottawa_Domes_of_St_Juskina_40x46.jpg,40,46,,,,,,,,,false,,false
Dowager Empress Young Cixi,dowager-empress-young-cixi,632b56d98acca70c72830aa4,632b56d98acca70e69830adb,Thu Jun 23 2022 22:37:03 GMT+0000 (Coordinated Universal Time),Mon Dec 05 2022 15:12:39 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b4eb00bc84bfe6410b6c0c_Jerome_Tupa_Young_Susi_48x68.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62b4eb050df77f37f0c36391_Jerome_Tupa_Young_Susi_48x68_hi.jpg,48,68,Oil on Canvas,,Available for Purchase,,"<p id="""">Painting showing the last important Dowager Empress of China as a young Courtesan. While being ruthless in real life she was chosen as Empress because of her courtly ways as a young woman. In this portrait she is enthroned on a beautiful fan backed wooden chair (which I found near my studio}. This chair inspired me to paint a number of works from Chinese history. Pictures like ‘Dowger…” ‘Tea for Cixi’ and a painting of the “last Emperor of China Puyi” the chair figures prominently in all of the paintings from the year 2022. </p>",,imperial-chinese-leaders,10,true,,false
Dragon Lady,dragon-lady,632b56d98acca70c72830aa4,632b56d98acca7398b830bba,Wed Aug 03 2022 16:35:32 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:28:33 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa3c027d187986bb2d1c4_Jerome_Tupa_Dragon_Lady_36x48.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa3c22e999a8253ee7989_Jerome_Tupa_Dragon_Lady_36x48.jpg,36,48,,,,,,,imperial-chinese-leaders,,false,,false
Dreamscape,dreamscape,632b56d98acca70c72830aa4,632b56d98acca7f3e3830bbb,Wed Aug 03 2022 16:36:17 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:32:21 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa3de1da50f1d16520712_Jerome_Tupa_Dreamscape_48x68.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa3e446101f08d2e8452f_Jerome_Tupa_Dreamscape_48x68.jpg,48,68,,,,,,,imperial-chinese-leaders,,false,,false
"Duomo, Florence (Print)",duomo-florence-print,632b56d98acca70c72830aa4,632b56d98acca716aa830bdd,Wed Aug 03 2022 17:10:30 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 17:10:30 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaaadf92c2c16ca7906003_Jerome_Tupa_Florence_Duomo_Print_27x32.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaaae17a914eacc8b6529e_Jerome_Tupa_Florence_Duomo_Print_27x32.jpg,27,32,,,,,,,,,false,,false
"Ecce Homo 2, Jerusalem",ecce-homo-2,632b56d98acca70c72830aa4,632b56d98acca7af10830c07,Wed Aug 03 2022 17:37:01 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:52:58 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab22bfb360495ecf28e3b_Jerome_Tupa_Jerusalem_from_Ecce_Homo_2_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab22db9d8d1a9f37863f5_Jerome_Tupa_Jerusalem_from_Ecce_Homo_2_30x23.jpg,30,23,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
"Ecce Homo 3, Jerusalem",ecce-homo-3-jerusalem,632b56d98acca70c72830aa4,632b56d98acca78092830c08,Wed Aug 03 2022 17:37:46 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:53:07 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab26057283e5f5477d073_Jerome_Tupa_Jerusalem_from_Ecce_Homo_3_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab263e6ee0ffdf5fa2cc6_Jerome_Tupa_Jerusalem_from_Ecce_Homo_3_30x23.jpg,30,23,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Eclipse 1,eclipse-1,632b56d98acca70c72830aa4,632b56d98acca75a88830bbc,Wed Aug 03 2022 16:37:22 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:57:47 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa40fb9d8d1339477d3b4_Jerome_Tupa_Eclipse_1_72x62.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa413e6ee0f7194f98237_Jerome_Tupa_Eclipse_1_72x62.jpg,72,62,,,,,"<p id="""">The eclipse pieces were painted after the Sentinels of Fire and show the orb as intersected by some form. The colors used for these pieces are vibrant and intense.</p>",,,,false,,false
Eclipse 2,eclipse-2,632b56d98acca70c72830aa4,632b56d98acca75e67830bbd,Wed Aug 03 2022 16:37:55 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:57:51 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa4507e8c6d851e9eca69_Jerome_Tupa_Eclipse_2_59x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa45235209b291b753481_Jerome_Tupa_Eclipse_2_59x59.jpg,59,59,,,,,<p>The eclipse pieces were painted after the Sentinels of Fire and show the orb as intersected by some form. The colors used for these pieces are vibrant and intense.</p>,,,,false,,false
Eclipse 3,eclipse-3,632b56d98acca70c72830aa4,632b56d98acca73844830bbe,Wed Aug 03 2022 16:38:28 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:57:55 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa46c9e7e73d1e391f550_Jerome_Tupa_Eclipse_3_59x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa46e2ffcb759a5f5bd4d_Jerome_Tupa_Eclipse_3_59x59.jpg,59,59,,,,,<p>The eclipse pieces were painted after the Sentinels of Fire and show the orb as intersected by some form. The colors used for these pieces are vibrant and intense.</p>,,,,false,,false
Faces 1: Darling,faces-1-darling,632b56d98acca70c72830aa4,632b56d98acca76001830bb4,Wed Aug 03 2022 16:32:08 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:25:07 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa2beedb08219dff3e61c_Jerome_Tupa_Darling_Faces_1_23x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa2c1c69f44df230497d8_Jerome_Tupa_Darling_Faces_1_23x31.jpg,23,31,Guache,,,,,,,,false,,false
Faces 10,faces-10,632b56d98acca70c72830aa4,632b56d98acca773a2830bc8,Wed Aug 03 2022 16:52:56 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:52:56 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa7d40b34fe83b8d178ac_Jerome_Tupa_Faces_10_22x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa7d6236e961bace234aa_Jerome_Tupa_Faces_10_22x31.jpg,22,31,,,,,,,,,false,,false
Faces 11,faces-11,632b56d98acca70c72830aa4,632b56d98acca79069830bca,Wed Aug 03 2022 16:53:32 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:53:32 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa7f5236e9651e1e23520_Jerome_Tupa_Faces_11_23x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa7f85b65fc2cf851d126_Jerome_Tupa_Faces_11_23x31.jpg,23,31,,,,,,,,,false,,false
Faces 12,faces-12,632b56d98acca70c72830aa4,632b56d98acca718cd830bcb,Wed Aug 03 2022 16:54:08 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:54:08 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa81c9f806172c8945568_Jerome_Tupa_Faces_12_23x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa81f1233ddac91d502a1_Jerome_Tupa_Faces_12_23x31.jpg,23,31,,,,,,,,,false,,false
Faces 13,faces-13,632b56d98acca70c72830aa4,632b56d98acca70980830bcc,Wed Aug 03 2022 16:54:40 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:54:40 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa83bfb36040b35f1f67c_Jerome_Tupa_Faces_13_22x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa83d9e7e7387e5921bc1_Jerome_Tupa_Faces_13_22x31.jpg,22,31,,,,,,,,,false,,false
Faces 14,faces-14,632b56d98acca70c72830aa4,632b56d98acca792ef830bcd,Wed Aug 03 2022 16:57:31 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:57:31 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa85ba6c391c793c36025_Jerome_Tupa_Faces_14_24x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa85dfb36045bf4f1f7a4_Jerome_Tupa_Faces_14_24x31.jpg,24,31,,,,,,,,,false,,false
Faces 15,faces-15,632b56d98acca70c72830aa4,632b56d98acca70d41830bce,Wed Aug 03 2022 16:58:02 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:58:02 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa906a6c3914e21c367f2_Jerome_Tupa_Faces_15_23x32.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa908eed80fdb0c470c84_Jerome_Tupa_Faces_15_23x32.jpg,23,32,,,,,,,,,false,,false
Faces 16,faces-16,632b56d98acca70c72830aa4,632b56d98acca70280830bcf,Wed Aug 03 2022 16:58:25 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:58:25 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa9252e999ab24eeebacd_Jerome_Tupa_Faces_16_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa9279cd0d63c8b6830a9_Jerome_Tupa_Faces_16_22x30.jpg,22,30,,,,,,,,,false,,false
Faces 17,faces-17,632b56d98acca70c72830aa4,632b56d98acca7ff47830bd0,Wed Aug 03 2022 16:59:07 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:59:07 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa94e7a914e4028b644d8_Jerome_Tupa_Faces_17_22x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa951eed80f0a51471216_Jerome_Tupa_Faces_17_22x31.jpg,22,31,,,,,,,,,false,,false
Faces 18,faces-18,632b56d98acca70c72830aa4,632b56d98acca74d0a830bd1,Wed Aug 03 2022 16:59:38 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 16:59:38 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa9691da50f2b2e52431c_Jerome_Tupa_Faces_18_23x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa96b34a1ec3ee2a37812_Jerome_Tupa_Faces_18_23x31.jpg,23,31,,,,,,,,,false,,false
Faces 19,faces-19,632b56d98acca70c72830aa4,632b56d98acca714c0830bd2,Wed Aug 03 2022 17:00:03 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 17:00:03 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa986a6c3917512c36d56_Jerome_Tupa_Faces_19_23x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa988b21df942943f2e22_Jerome_Tupa_Faces_19_23x31.jpg,23,31,,,,,,,,,false,,false
